item_name,text,Type,Answers,Values,Optional,score: env_beh,btn_width,side_text,
env_beh,"I take measures to reduce my carbon footprint. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I take measures to act in an environmentally friendly way.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I strive to behave sustainably.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,I engage in discussions about the environment .,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I engage with the climate movement by reading articles, watching videos and seeking knowledge on the topic.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I take measures to reduce my fuel consumption (e.g. when travelling, I opt for car pools, cycling, public transport and walking when possible. If I use my car, I will reduce excessive fuel consumption by restricting use of radio and airconditioning). ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I take appropriate measures to reduce energy consumption (by using energy saving light bulbs, turning lights off when leaving the room unattended, turning off electronic devices when unused, reducing use of airconditioning and fans, using energy efficient appliances etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I take appropriate measures to reduce energy consumption for heating (e.g. by keeping indoor temperature low, washing clothes at a lower temperature, wearing more clothes rather than using the heating, turning off heating in empty rooms etc.).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I have installed or am seriously considering installing solar panels for electricity, solar water heating and/or buying my household electricity on a Green Tariff. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
env_beh,"I take as few flights as possible, and offset those which I do take. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Almost never|Almost always,
